epochs, batch_size, dropout, learning_rate, accuracy,,
300,64,0.5,0.001,93.71044304,,95.15427215
300,64,0.5,0.002,94.08623418,,
300,64,0.5,0.003,93.4335443,,
300,64,0.5,0.004,93.05775316,,
300,64,0.5,0.005,92.1875,,
300,64,0.5,0.0009,94.0664557,,
300,64,0.5,0.0008,92.95886076,,
300,64,0.5,0.0007,92.24683544,,
300,64,0.5,0.0006,93.41376582,,
300,64,0.5,0.0005,91.21835443,,
300,64,0.5,0.01,90.01186709,,
300,64,0.8,0.001,89.10205696,,
300,64,0.8,0.002,88.13291139,,
300,64,0.8,0.003,86.74841772,,
300,64,0.8,0.004,86.53085443,,
300,64,0.8,0.005,83.26740506,,
300,64,0.8,0.0009,89.63607595,,
300,64,0.8,0.0008,89.71518987,,
300,64,0.8,0.0007,88.27136076,,
300,64,0.8,0.0006,89.31962025,,
300,64,0.8,0.0005,87.57911392,,
300,64,0.8,0.01,76.85917722,,
300,64,0.7,0.001,90.82278481,,
300,64,0.7,0.002,91.33702532,,
300,64,0.7,0.003,91.13924051,,
300,64,0.7,0.004,89.18117089,,
300,64,0.7,0.005,89.53718354,,
300,64,0.7,0.0009,91.61392405,,
300,64,0.7,0.0008,91.71281646,,
300,64,0.7,0.0007,91.15901899,,
300,64,0.7,0.0006,91.17879747,,
300,64,0.7,0.0005,90.26898734,,
300,64,0.7,0.01,1.95806962,,
300,64,0.6,0.001,93.39398734,,
300,64,0.6,0.002,92.44462025,,
300,64,0.6,0.003,92.80063291,,
300,64,0.6,0.004,91.51503165,,
300,64,0.6,0.005,91.7721519,,
300,64,0.6,0.0009,93.03797468,,
300,64,0.6,0.0008,93.23575949,,
300,64,0.6,0.0007,92.42484177,,
300,64,0.6,0.0006,91.89082278,,
300,64,0.6,0.0005,92.48417722,,
300,64,0.6,0.01,88.46914557,,
300,64,0.9,0.001,75.51424051,,
300,64,0.9,0.002,62.22310127,,
300,64,0.9,0.003,60.81882911,,
300,64,0.9,0.004,59.09810127,,
300,64,0.9,0.005,57.51582278,,
300,64,0.9,0.0009,79.2721519,,
300,64,0.9,0.0008,77.13607595,,
300,64,0.9,0.0007,75.7318038,,
300,64,0.9,0.0006,78.73813291,,
300,64,0.9,0.0005,70.94541139,,
300,64,0.9,0.01,1.95806962,,
300,64,0.4,0.001,93.4335443,,
300,64,0.4,0.002,94.12579114,,
300,64,0.4,0.003,93.69066456,,
300,64,0.4,0.004,93.53243671,,
300,64,0.4,0.005,93.94778481,,
300,64,0.4,0.0009,94.20490506,,
300,64,0.4,0.0008,93.47310127,,
300,64,0.4,0.0007,93.86867089,,
300,64,0.4,0.0006,94.22468354,,
300,64,0.4,0.0005,93.67088608,,
300,64,0.4,0.01,87.65822785,,
300,64,0.3,0.001,94.04667722,,
300,64,0.3,0.002,93.23575949,,
300,64,0.3,0.003,93.90822785,,
300,64,0.3,0.004,93.0181962,,
300,64,0.3,0.005,93.45332278,,
300,64,0.3,0.0009,94.02689873,,
300,64,0.3,0.0008,93.80933544,,
300,64,0.3,0.0007,94.12579114,,
300,64,0.3,0.0006,93.49287975,,
300,64,0.3,0.0005,93.4335443,,
300,64,0.3,0.01,92.06882911,,
300,64,0.2,0.001,94.34335443,,
300,64,0.2,0.002,95.07515823,,
300,64,0.2,0.003,94.40268987,,
300,64,0.2,0.004,94.69936709,,
300,64,0.2,0.005,93.0181962,,
300,64,0.2,0.0009,94.62025316,,
300,64,0.2,0.0008,93.84889241,,
300,64,0.2,0.0007,93.98734177,,
300,64,0.2,0.0006,93.25553797,,
300,64,0.2,0.0005,93.86867089,,
300,64,0.2,0.01,1.95806962,,
300,64,0.1,0.001,93.71044304,,
300,64,0.1,0.002,93.90822785,,
300,64,0.1,0.003,93.59177215,,
300,64,0.1,0.004,94.30379747,,
300,64,0.1,0.005,93.94778481,,
300,64,0.1,0.0009,93.61155063,,
300,64,0.1,0.0008,93.15664557,,
300,64,0.1,0.0007,94.22468354,,
300,64,0.1,0.0006,95.15427215,,
300,64,0.1,0.0005,93.82911392,,
300,64,0.1,0.01,1.95806962,,
300,32,0.5,0.001,90.9633758,,
300,32,0.5,0.002,89.2316879,,
300,32,0.5,0.003,88.80374204,,
300,32,0.5,0.004,89.3013535,,
300,32,0.5,0.005,87.49004777,,
300,32,0.5,0.0009,90.20700637,,
300,32,0.5,0.0008,89.59992038,,
300,32,0.5,0.0007,89.72929936,,
300,32,0.5,0.0006,89.50039809,,
300,32,0.5,0.0005,88.99283439,,
300,32,0.5,0.01,1.970541401,,
300,32,0.8,0.001,78.4633758,,
300,32,0.8,0.002,78.56289809,,
300,32,0.8,0.003,72.73089172,,
300,32,0.8,0.004,69.57603503,,
300,32,0.8,0.005,50.85589172,,
300,32,0.8,0.0009,82.49402866,,
300,32,0.8,0.0008,82.59355096,,
300,32,0.8,0.0007,81.67794586,,
300,32,0.8,0.0006,78.26433121,,
300,32,0.8,0.0005,79.63773885,,
300,32,0.8,0.01,1.940684713,,
300,32,0.7,0.001,87.42038217,,
300,32,0.7,0.002,82.78264331,,
300,32,0.7,0.003,83.34992038,,
300,32,0.7,0.004,81.11066879,,
300,32,0.7,0.005,74.20382166,,
300,32,0.7,0.0009,85.24084395,,
300,32,0.7,0.0008,86.9227707,,
300,32,0.7,0.0007,86.82324841,,
300,32,0.7,0.0006,85.21098726,,
300,32,0.7,0.0005,85.24084395,,
300,32,0.7,0.01,38.17675159,,
300,32,0.6,0.001,89.45063694,,
300,32,0.6,0.002,88.50517516,,
300,32,0.6,0.003,89.00278662,,
300,32,0.6,0.004,85.72850318,,
300,32,0.6,0.005,85.46974522,,
300,32,0.6,0.0009,89.21178344,,
300,32,0.6,0.0008,88.01751592,,
300,32,0.6,0.0007,86.73367834,,
300,32,0.6,0.0006,89.31130573,,
300,32,0.6,0.0005,86.87300955,,
300,32,0.6,0.01,73.22850318,,
300,32,0.9,0.001,59.69347134,,
300,32,0.9,0.002,59.02667197,,
300,32,0.9,0.003,28.22452229,,
300,32,0.9,0.004,27.46815287,,
300,32,0.9,0.005,22.89012739,,
300,32,0.9,0.0009, ,,
