epochs, batch_size, dropout, learning_rate, accuracy,,93.3346519
300,64,0.5,0.001,90.80300633,,
300,64,0.5,0.002,87.24287975,,
300,64,0.5,0.003,83.78164557,,
300,64,0.5,0.004,76.04825949,,
300,64,0.5,0.005,72.34968354,,
300,64,0.5,0.0009,90.84256329,,
300,64,0.5,0.0008,91.83148734,,
300,64,0.5,0.0007,91.47547468,,
300,64,0.5,0.0006,90.68433544,,
300,64,0.5,0.0005,90.26898734,,
300,64,0.5,0.01,1.95806962,,
300,64,0.8,0.001,86.78797468,,
300,64,0.8,0.002,82.29825949,,
300,64,0.8,0.003,70.39161392,,
300,64,0.8,0.004,68.53243671,,
300,64,0.8,0.005,1.95806962,,
300,64,0.8,0.0009,87.89556962,,
300,64,0.8,0.0008,85.02768987,,
300,64,0.8,0.0007,84.23655063,,
300,64,0.8,0.0006,86.6693038,,
300,64,0.8,0.0005,88.09335443,,
300,64,0.8,0.01,1.95806962,,
300,64,0.7,0.001,90.22943038,,
300,64,0.7,0.002,87.97468354,,
300,64,0.7,0.003,81.11155063,,
300,64,0.7,0.004,69.24446203,,
300,64,0.7,0.005,26.66139241,,
300,64,0.7,0.0009,89.91297468,,
300,64,0.7,0.0008,90.2096519,,
300,64,0.7,0.0007,89.53718354,,
300,64,0.7,0.0006,89.57674051,,
300,64,0.7,0.0005,90.58544304,,
300,64,0.7,0.01,1.95806962,,
300,64,0.6,0.001,90.78322785,,
300,64,0.6,0.002,87.73734177,,
300,64,0.6,0.003,83.78164557,,
300,64,0.6,0.004,79.35126582,,
300,64,0.6,0.005,56.72468354,,
300,64,0.6,0.0009,89.31962025,,
300,64,0.6,0.0008,89.08227848,,
300,64,0.6,0.0007,90.52610759,,
300,64,0.6,0.0006,91.27768987,,
300,64,0.6,0.0005,91.83148734,,
300,64,0.6,0.01,1.95806962,,
300,64,0.9,0.001,55.08306962,,
300,64,0.9,0.002,19.30379747,,
300,64,0.9,0.003,6.230221519,,
300,64,0.9,0.004,8.148734177,,
300,64,0.9,0.005,1.95806962,,
300,64,0.9,0.0009,48.16060127,,
300,64,0.9,0.0008,71.65743671,,
300,64,0.9,0.0007,53.4414557,,
300,64,0.9,0.0006,71.28164557,,
300,64,0.9,0.0005,55.97310127,,
300,64,0.9,0.01,1.95806962,,
300,64,0.4,0.001,91.73259494,,
300,64,0.4,0.002,88.25158228,,
300,64,0.4,0.003,83.26740506,,
300,64,0.4,0.004,78.77768987,,
300,64,0.4,0.005,72.40901899,,
300,64,0.4,0.0009,91.95015823,,
300,64,0.4,0.0008,92.04905063,,
300,64,0.4,0.0007,91.33702532,,
300,64,0.4,0.0006,90.60522152,,
300,64,0.4,0.0005,90.72389241,,
300,64,0.4,0.01,1.95806962,,
300,64,0.3,0.001,91.51503165,,
300,64,0.3,0.002,89.04272152,,
300,64,0.3,0.003,87.93512658,,
300,64,0.3,0.004,81.90268987,,
300,64,0.3,0.005,74.96044304,,
300,64,0.3,0.0009,92.32594937,,
300,64,0.3,0.0008,92.1875,,
300,64,0.3,0.0007,91.65348101,,
300,64,0.3,0.0006,91.67325949,,
300,64,0.3,0.0005,91.79193038,,
300,64,0.3,0.01,1.95806962,,
300,64,0.2,0.001,91.17879747,,
300,64,0.2,0.002,89.33939873,,
300,64,0.2,0.003,86.94620253,,
300,64,0.2,0.004,81.72468354,,
300,64,0.2,0.005,72.58702532,,
300,64,0.2,0.0009,93.3346519,,
300,64,0.2,0.0008,92.14794304,,
300,64,0.2,0.0007,92.12816456,,
300,64,0.2,0.0006,91.61392405,,
300,64,0.2,0.0005,92.16772152,,
300,64,0.2,0.01,1.95806962,,
300,64,0.1,0.001,91.3568038,,
300,64,0.1,0.002,88.70648734,,
300,64,0.1,0.003,88.03401899,,
300,64,0.1,0.004,85.08702532,,
300,64,0.1,0.005,81.78401899,,
300,64,0.1,0.0009,92.28639241,,
300,64,0.1,0.0008,90.625,,
300,64,0.1,0.0007,91.17879747,,
300,64,0.1,0.0006,92.32594937,,
300,64,0.1,0.0005,90.48655063,,
300,64,0.1,0.01,1.95806962,,
300,32,0.5,0.001,86.00716561,,
300,32,0.5,0.002,81.83718153,,
300,32,0.5,0.003,78.04538217,,
300,32,0.5,0.004,65.42595541,,
300,32,0.5,0.005,23.53702229,,
300,32,0.5,0.0009,85.80812102,,
300,32,0.5,0.0008,84.11624204,,
300,32,0.5,0.0007,86.02707006,,
300,32,0.5,0.0006,87.67914013,,
300,32,0.5,0.0005,85.41003185,,
300,32,0.5,0.01,1.970541401,,
300,32,0.8,0.001,45.83001592,,
300,32,0.8,0.002,62.88813694,,
300,32,0.8,0.003,9.554140127,,
300,32,0.8,0.004,14.62977707,,
300,32,0.8,0.005,16.10270701,,
300,32,0.8,0.0009,73.66640127,,
300,32,0.8,0.0008,62.43033439,,
300,32,0.8,0.0007,71.59633758,,
300,32,0.8,0.0006,65.625,,
300,32,0.8,0.0005,59.43471338,,
300,32,0.8,0.01,1.970541401,,
300,32,0.7,0.001,83.67834395,,
300,32,0.7,0.002,68.08320064,,
300,32,0.7,0.003,59.07643312,,
300,32,0.7,0.004,23.05931529,,
300,32,0.7,0.005,23.2683121,,
300,32,0.7,0.0009,81.36942675,,
300,32,0.7,0.0008,81.11066879,,
300,32,0.7,0.0007,83.01154459,,
300,32,0.7,0.0006,81.67794586,,
300,32,0.7,0.0005,82.84235669,,
300,32,0.7,0.01,1.970541401,,
300,32,0.6,0.001,83.66839172,,
300,32,0.6,0.002,78.92117834,,
300,32,0.6,0.003,73.83558917,,
300,32,0.6,0.004,52.58757962,,
300,32,0.6,0.005,46.59633758,,
300,32,0.6,0.0009,84.39490446,,
300,32,0.6,0.0008,83.73805732,,
300,32,0.6,0.0007,83.83757962,,
300,32,0.6,0.0006,86.86305732,,
300,32,0.6,0.0005,83.86743631,,
300,32,0.6,0.01,1.970541401,,
300,32,0.9,0.001,10.5991242,,
300,32,0.9,0.002,28.07523885,,
300,32,0.9,0.003,3.751990446,,
300,32,0.9,0.004,1.970541401,,
300,32,0.9,0.005,1.970541401,,
300,32,0.9,0.0009,1.970541401,,
300,32,0.9,0.0008,1.970541401,,
300,32,0.9,0.0007,11.00716561,,
300,32,0.9,0.0006,17.47611465,,
300,32,0.9,0.0005,10.47969745,,
300,32,0.9,0.01,1.970541401,,
300,32,0.4,0.001,87.8383758,,
300,32,0.4,0.002,81.56847134,,
300,32,0.4,0.003,78.09514331,,
300,32,0.4,0.004,68.36186306,,
300,32,0.4,0.005,67.25716561,,
300,32,0.4,0.0009,87.47014331,,
300,32,0.4,0.0008,87.58957006,,
300,32,0.4,0.0007,86.96257962,,
300,32,0.4,0.0006,88.76393312,,
300,32,0.4,0.0005,86.77348726,,
300,32,0.4,0.01,1.970541401,,
300,32,0.3,0.001,89.22173567,,
300,32,0.3,0.002,83.70820064,,
300,32,0.3,0.003,79.50835987,,
300,32,0.3,0.004,77.16958599,,
300,32,0.3,0.005,70.21297771,,
300,32,0.3,0.0009,88.39570064,,
300,32,0.3,0.0008,89.77906051,,
300,32,0.3,0.0007,88.76393312,,
300,32,0.3,0.0006,88.04737261,,
300,32,0.3,0.0005,89.72929936,,
300,32,0.3,0.01,1.970541401,,
300,32,0.2,0.001,89.72929936,,
300,32,0.2,0.002,85.75835987,,
300,32,0.2,0.003,83.32006369,,
300,32,0.2,0.004,77.08001592,,
300,32,0.2,0.005,67.31687898,,
300,32,0.2,0.0009,88.77388535,,
300,32,0.2,0.0008,88.73407643,,
300,32,0.2,0.0007,88.90326433,,
300,32,0.2,0.0006,90.11743631,,
300,32,0.2,0.0005,90.22691083,,
300,32,0.2,0.01,1.970541401,,
300,32,0.1,0.001,89.18192675,,
300,32,0.1,0.002,86.53463376,,
300,32,0.1,0.003,82.62340764,,
300,32,0.1,0.004,74.91042994,,
300,32,0.1,0.005,69.36703822,,
300,32,0.1,0.0009,89.37101911,,
300,32,0.1,0.0008,89.60987261,,
300,32,0.1,0.0007,87.91799363,,
300,32,0.1,0.0006,90.25676752,,
300,32,0.1,0.0005,89.36106688,,
300,32,0.1,0.01,1.970541401,,
300,16,0.5,0.001,71.50559105,,
300,16,0.5,0.002,68.82488019,,
300,16,0.5,0.003,29.46785144,,
300,16,0.5,0.004,15.92452077,,
300,16,0.5,0.005,23.34265176,,
300,16,0.5,0.0009,72.29932109,,
300,16,0.5,0.0008,71.2509984,,
300,16,0.5,0.0007,62.81948882,,
300,16,0.5,0.0006,64.30710863,,
300,16,0.5,0.0005,62.75459265,,
300,16,0.5,0.01,5.166733227,,
300,16,0.8,0.001,22.79852236,,
300,16,0.8,0.002,14.77136581,,
300,16,0.8,0.003,13.50339457,,
300,16,0.8,0.004,6.364816294,,
300,16,0.8,0.005,1.976837061,,
300,16,0.8,0.0009,6.289936102,,
300,16,0.8,0.0008,6.25,,
300,16,0.8,0.0007,17.06269968,,
300,16,0.8,0.0006,9.484824281,,
300,16,0.8,0.0005,5.086861022,,
300,16,0.8,0.01,1.976837061,,
300,16,0.7,0.001,43.3206869,,
300,16,0.7,0.002,43.85982428,,
300,16,0.7,0.003,25.18470447,,
300,16,0.7,0.004,3.30471246,,
300,16,0.7,0.005,4.343051118,,
300,16,0.7,0.0009,41.59844249,,
300,16,0.7,0.0008,36.69628594,,
300,16,0.7,0.0007,43.18590256,,
300,16,0.7,0.0006,24.19628594,,
300,16,0.7,0.0005,14.88618211,,
300,16,0.7,0.01,1.976837061,,
300,16,0.6,0.001,62.82448083,,
300,16,0.6,0.002,52.1465655,,
300,16,0.6,0.003,32.79752396,,
300,16,0.6,0.004,19.97803514,,
300,16,0.6,0.005,14.1024361,,
300,16,0.6,0.0009,59.08546326,,
300,16,0.6,0.0008,59.53973642,,
300,16,0.6,0.0007,58.25678914,,
300,16,0.6,0.0006,56.34484824,,
300,16,0.6,0.0005,45.86162141,,
300,16,0.6,0.01,1.976837061,,
300,16,0.9,0.001,1.961861022,,
300,16,0.9,0.002,4.033546326,,
300,16,0.9,0.003,3.404552716,,
300,16,0.9,0.004,1.976837061,,
300,16,0.9,0.005,1.976837061,,
300,16,0.9,0.0009,2.01178115,,
300,16,0.9,0.0008,1.981829073,,
300,16,0.9,0.0007,2.01178115,,
300,16,0.9,0.0006,1.996805112,,
300,16,0.9,0.0005,1.986821086,,
300,16,0.9,0.01,1.976837061,,
300,16,0.4,0.001,67.67172524,,
300,16,0.4,0.002,68.77995208,,
300,16,0.4,0.003,48.49740415,,
300,16,0.4,0.004,41.55850639,,
300,16,0.4,0.005,1.976837061,,
300,16,0.4,0.0009,76.22304313,,
300,16,0.4,0.0008,74.30111821,,
300,16,0.4,0.0007,72.16453674,,
300,16,0.4,0.0006,74.20127796,,
300,16,0.4,0.0005,69.79832268,,
300,16,0.4,0.01,2.036741214,,
300,16,0.3,0.001,77.9303115,,
300,16,0.3,0.002,72.24440895,,
300,16,0.3,0.003,46.27096645,,
300,16,0.3,0.004,30.67591853,,
300,16,0.3,0.005,13.673123,,
300,16,0.3,0.0009,70.41733227,,
300,16,0.3,0.0008,78.6341853,,
300,16,0.3,0.0007,77.31629393,,
300,16,0.3,0.0006,72.42911342,,
300,16,0.3,0.0005,74.35603035,,
300,16,0.3,0.01,1.976837061,,
300,16,0.2,0.001,79.18829872,,
300,16,0.2,0.002,79.84724441,,
300,16,0.2,0.003,59.56469649,,
300,16,0.2,0.004,43.61521565,,
300,16,0.2,0.005,35.81269968,,
300,16,0.2,0.0009,80.67092652,,
300,16,0.2,0.0008,81.03035144,,
300,16,0.2,0.0007,80.09684505,,
300,16,0.2,0.0006,80.10682907,,
300,16,0.2,0.0005,76.53753994,,
300,16,0.2,0.01,1.941892971,,
300,16,0.1,0.001,82.66773163,,
300,16,0.1,0.002,75.72883387,,
300,16,0.1,0.003,65.31549521,,
300,16,0.1,0.004,40.28055112,,
300,16,0.1,0.005,34.77935304,,
300,16,0.1,0.0009,83.15694888,,
300,16,0.1,0.0008,82.68769968,,
300,16,0.1,0.0007,83.97064696,,
300,16,0.1,0.0006,82.05371406,,
300,16,0.1,0.0005,80.29153355,,
300,16,0.1,0.01,1.976837061,,
400,64,0.5,0.001,91.3568038,,
400,64,0.5,0.002,89.71518987,,
400,64,0.5,0.003,83.92009494,,
400,64,0.5,0.004,73.29905063,,
400,64,0.5,0.005,65.78322785,,
400,64,0.5,0.0009,92.06882911,,
400,64,0.5,0.0008,92.64240506,,
400,64,0.5,0.0007,92.40506329,,
400,64,0.5,0.0006,92.22705696,,
400,64,0.5,0.0005,90.58544304,,
400,64,0.5,0.01,1.95806962,,
400,64,0.8,0.001,86.19462025,,
400,64,0.8,0.002,83.70253165,,
400,64,0.8,0.003, ,,
